Ped,Bike,Bike Loop,School Area,1st St,E 2nd St,5th St,8th St,B St,F St,J St N,North Sycamore,North Anderson,North Anderson,East Covell,Olive Drive,Pole Line,West Russell,Russell,Downtown,University Rice,Old North,Old East,A St,DATE,TIME,REPORT,STREET 1,STREET 2,DISTANCE,DIRECTION,PRIMARY CAUSE,COLLISION TYPE,INJURY,Bike,5 Year Bike,5 Year  Ped,Ped,FATAL,TYPE OF COLLISION,VEHICLE 1,VEHICLE 2,INVOLVED WITH,OBJECT HIT,PEDESTRIAN ACTION,TRAFFIC CONTROL DEVICES,NOTES
,1,,,,,,,,,,,,,,,,,,1,,,,,9/13/2007,1458,07-04818,3RD ST,G ST,,,22350 VC,other,1,1.0,,,,,SOLO BIKE,,,Other Object,FELL ON PAVEMENT,No Pedestrians Involved,,
,1,,,,,,1,,,,,,,,,,,,,,,,1,9/14/2007,741,07-04836,8TH ST,,85 FEET EAST OF MILLER,,22350 VC,other,1,1.0,,,,,SOLO BIKE FALL,,,Non-collision,,No Pedestrians Involved,,
,,,,,,,,,,,,1,1,,,,,,,,,,,9/15/2007,308,07-04881,ANDERSON RD,COVELL BLVD,,,23152 (A) VC,side swipe,,,,,,,,,,Fixed Object,TRAFFIC LIGHT,No Pedestrians Involved,,
,,,,,,,,,,,,,,1,,,,,,,,,,9/15/2007,1731,07-04891,COVELL BLVD,,500 FEET EAST OF L STREET,,21804(A) VC,broadside,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,9/19/2007,1201,07-04955,ALHAMBRA DR,,18 FEET WEST OF MACE BLVD,,,hit object,,,,,,,,,,Fixed Object,CURB & POLE,No Pedestrians Involved,,
,,,,,,,,,,,,1,,,,,,,,,,,,9/21/2007,2200,07-04994,ALVARADO AVE,ANDERSON RD,,,21803(A) VC,side swipe,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,1,,,,,,,,,,,,,,,,,,,,,9/22/2007,18,07-04995,FARRAGUT,,40 FEET NORTH OF COWELL BLVD,,23152,hit object,,,,,,,,,,Fixed Object,FENCE,No Pedestrians Involved,,
,1,,,,,,,,,,,,,,,,1,,,,,,,9/21/2007,2326,07-04997,RUSSELL BLVD,STATE ROUTE 113,,,,other,1,1.0,,,,,SOLO BIKE,,,Fixed Object,CURB,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,9/22/2007,346,07-05000,MACE BLVD,,20 FEET NORTH OF I-80 W OFF RAMP,,23152(A) ,hit object,,,,,,,,,,Fixed Object,RAISED MEDIAN,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,9/22/2007,1013,07-05003,RADCLIFFE DR,WILLOW LANE,,,21802(A) VC,broadside,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,1,,,,,,1,,,,,,1,,,,,,,,,,,9/22/2007,1450,07-05011,8TH ST,ANDERSON RD,,,22107 CVC,other,1,1.0,,,,,AUTO VS. BIKE,,,Bicycle,,No Pedestrians Involved,,
,,,1,,,,,,,,,,,,,,,,,,,,,9/21/2007,2500,07-05046,EL CEMONTE AVE,,15 FEET SOUTH OF GLIDE DR,,22107 ,side swipe,,,,,,,,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,9/25/2007,1415,07-05067,4TH ST,,200 FEET EAST OF G ST,,22106,other,,,,,,,BACKING,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,9/26/2007,1320,07-05087,COWELL BLVD,,15 FEET WEST OF RESEARCH PARK DR,,22350,rear end,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,1,,,,,,,,,,,,,,,,,,1,,,,,9/26/2007,1603,07-05118,3RD ST,F ST,,,22450 (A) CVC,other,1,1.0,,,,,AUTO VS BIKE,,,Bicycle,,No Pedestrians Involved,,
,1,1,,,,,,,,1,,,,1,,,,,,,,,,9/26/2007,1713,07-05122,920 CRANBROOK CT (EAST OF BIKE TUNNEL),,,,,other,2,2.0,,,,,BIKE VS. BIKE,,,,,No Pedestrians Involved,,PRIVATE PROPERTY
,,,,,,,,,,,,,,,,,,,1,,,,,9/27/2007,1335,07-05134,4TH ST,D ST,,,21802 (A) CVC,broadside,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,9/27/2007,1549,07-05140,2ND ST,,40 FEET EAST OF C ST,,22106 CVC,side swipe,,,,,,,,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,9/26/2007,2200,07-05142,EL MACERO DR,LA PAZ DR,,,,side swipe,,,,,,,,,,Parked Motor Vehicle,,No Pedestrians Involved,,
1,1,,,,,,,,,,,,,,,,,,1,,,,,9/26/2007,1700,07-05156,E ST (ON SIDEWALK),,10 FEET NORTH OF FIRST ST,,,other,1,0.5,,,0.5,,BIKE VS PEDESTRIAN,,,,,Not in Road,,RIDING ON SIDEWALK
,,,,,,,,,,,,,,,,,,,1,,,,,9/28/2007,1341,07-05161,G ST,,15 FEET NORTH OF 2ND ST,,22106 CVC,broadside,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,1,,,,,,,,,,,,,,,,,9/29/2007,116,07-05178,E 8TH ST,D ST,,,21802 (A) VC,broadside,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,9/29/2007,1530,07-05186,RUSSELL BLVD,,50 FEET EAST OF SYCAMORE LN,,22350 CVC,hit object,,,,,,,,,,Fixed Object,SPEED LIMIT SIGN,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,1,,,,,,,9/29/2007,1730,07-05187,LAKE BLVD,,NORTH OF RUSSELL BLVD,,22350,side swipe,,,,,,,,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,1,,,,,,,,,9/30/2007,1412,07-05209,RICHARDS BLVD,,100 FEET SOUTH OF OLIVE DR,,22350 VC,rear end,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,1,,,,,1,,,,,,,,,,,,,1,,1,,,10/1/2007,1420,07-05223,5TH ST,,30 FEET EAST OF C ST,,22107 CVC,other,1,1.0,,,,,AUTO VS. BIKE,,,Bicycle,,No Pedestrians Involved,,
1,,,,,,,,,1,,,,,,,,,,1,,,,,10/1/2007,1546,07-05226,2ND ST,F ST,,,21950(B) ,vehicle-pedestrian,1,,,,1.0,,,,,Pedestrian,,Crossing in Crosswalk at Intersection,,
,,,,,,,,,,,,,,,,,,,,,,,,10/1/2007,0,07-05228,MONARCH LN,,60 FEET SOUTH OF GRINNELL DR,,22107 CVC,hit object,,,,,,,,,,Fixed Object,FENCE,No Pedestrians Involved,,
,,,,,,,,,,1,,,,,,,,,,,,,,10/2/2007,10,07-05240,J ST,,300 FEET SOUTH OF ALICE ST,,22106 VC,other,,,,,,,BACKING,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,,,,,,1,,,,,,,,,,,,,1,,1,,,10/2/2007,1501,07-05248,FIFTH ST,E ST,,,21802(A) VC,side swipe,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,1,1,,,,,,,,,,,,,,,,,1,,,,,10/3/2007,1245,07-05269,BIKE TRAIL AT THE REAR OF 500 1ST ST,,,,,head on,2,2.0,,,,,BIKE VS BIKE,,,,,No Pedestrians Involved,,PRIVATE PROPERTY
,,,,,,,,,,,,,,,,,,,,,,1,,10/3/2007,21617,07-05272,4TH ST,,150 FEET WEST OF I ST,,22107,side swipe,,,,,,,,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,1,,,,,,1,,1,,,,,,,,,,,,,,,10/4/2007,1739,07-05312,8TH ST,F ST,,,21801 (A) VC,other,1,1.0,,,,,AUTO VS. BIKE,,,Bicycle,,No Pedestrians Involved,,
 ,1,,1,,,,,,,,,,1,,,,,,,,,,,10/5/2007,830,07-05322,ANDERSON RD,,300 FEET SOUTH OF RUTGERS,,22107 VC,other,1,1.0,,,,,AUTO VS BIKE,,,Bicycle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,10/5/2007,958,07-05327,MACE BLVD,,15 FEET EAST OF W I-80 ON RAMP,,21453(A) VC,broadside,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,10/5/2007,1100,07-05328,COWELL BLVD,,50 FEET SOUTH OF RESEARCH PARK,,22107,side swipe,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,1,,,,,,1,,,,,,,,,,,,,,,,,10/6/2007,1855,07-05353,E 8TH ST,D ST,,,21801(A) VC,other,1,1.0,,,,,AUTO VS. BIKE,,,Bicycle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,1,,,,,,,,10/8/2007,1345,07-05384,POLE LINE RD,,150 FEET SOUTH OF PICASSO AVE,,22106 VC,broadside,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,1,,,,,,1,,,,,,,,,,,,,,,,,10/8/2007,1855,07-05397,HAWTHORNE LN,,W 8TH ST,,22107 VC,other,1,1.0,,,,,VEH VS BIKE,,,Bicycle,,No Pedestrians Involved,,
,,,,,,1,,,,,,,,,,,,,,1,,,1,10/11/2007,629,07-05466,RUSSELL BLVD,A ST,,,22350 VC,hit object,1,,,,,,,,,Fixed Object,SIGNAL LIGHT BASE,No Pedestrians Involved,,
,1,,1,,,,,,1,,,,,1,,,,,,,,,,10/11/2007,850,07-05470,F ST,,50 FEET SOUTH OF COVELL BLVD,,22350 VC,other,1,1.0,,,,,AUTO VS BIKE,,,Bicycle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,10/11/2007,2337,07-05485,COVELL BLVD,JOHN JONES RD,,,,broadside,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,1,,,,,,,,,,,,,,,,,,,,,,,10/12/2007,1423,07-05495,COVELL BLVD,HIGHWAY 113 NORTH BOUND OFFRAMP,,,21650.1 VC,other,1,1.0,,,,,VEHICLE VS. BIKE,,,Bicycle,,No Pedestrians Involved,,
,,,,,,1,,,,,,,,,,,,,1,,1,,,10/13/2007,1548,07-05510,FIFTH ST,G ST,,,21801(B),head on,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,10/13/2007,1748,07-05512,MACE BLVD,I 80,,,21453(A) VC,broadside,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,1,,,,,,,10/15/2007,457,07-05536,RUSSELL BLVD,HWY 113,,,23152(A)(B),head on,,,,,,,,,,Fixed Object,TRAFFIC SIGNAL,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,10/15/2007,1325,07-05545,DREW CIRCLE,,.10 MILES SOUTH OF COWELL BLVD,,22106 VC,broadside,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
1,,,,,,,,,,,,1,,,,,,,,,,,,10/15/2007,2035,07-05553,ANDERSON RD,,200 FEET NORTH OF RUSSELL BLVD,,21954(A) VC,vehicle-pedestrian,1,,,,1.0,,,,,Pedestrian,,Crossing - Not in Crosswalk,,
,1,,,,,,,,,,,,,,,,,,1,,,,,10/15/2007,1330,07-05566,2ND ST,,25 FEET WEST OF E ST,,22107,other,1,1.0,,,,,AUTO VS BIKE,,,Bicycle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,1,,,,,,,,,,10/18/2007,1736,07-05629,EAST COVELL BLVD,,134 FEET WEST OF WRIGHT BLVD,,23152(A) VC,rear end,2,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,10/18/2007,1823,07-05631,THIRD STREET,E STREET,,,21800(A),broadside,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,10/18/2007,2000,07-05633,I-80 EAST,,,,,hit object,,,,,,,,,,Fixed Object,TREE AND FENCE,No Pedestrians Involved,,
,1,1,1,,,,,,,,,,1,,,,,,,,,,,10/20/2007,1434,07-05699,ANDERSON RD,VILLANOVA DR,,,21453(A) VC,broadside,3,2.0,,,,,,,,Bicycle,,No Pedestrians Involved,,
1,,,,,,,,,,,,,,,,,,,1,,,,,10/21/2007,1030,07-05709,D ST,,255 FEET SOUTH OF 3RD ST,,21804(A) ,vehicle-pedestrian,,,,,,,,,,Pedestrian,,Crossing - Not in Crosswalk,,
,,,,,,,,,,,,,,,,,,,,,,,,10/20/2007,2500,07-05728,HUDSON CT,,.10 MILES SOUTH OF PORTAGE BAY EAST,,,,,,,,,,,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,10/22/2007,1730,07-05731,RUSSELL BLVD,ORCHARD PARK DR,,,21801 CVC,broadside,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,1,,,,,,,,,,,10/22/2007,2000,07-05734,RADCLIFFE DR,,100 FEET EAST OF ANDERSON,,,other,,,,,,,UNKNOWN,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,10/24/2007,1337,07-05757,RUSSELL BLVD,,150 FEET WEST OF OAK AVE,,21804(A) ,broadside,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,1,,,,,,1,,,,,,,,,,,,,,,10/26/2007,2044,07-05829,E 14TH ST,,15 FEET WEST OF F ST,,22350 VC,rear end,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,10/27/2007,200,07-05840,620 ADAMS ST,,46 FEET NORTH OF SOUTH CURB OF ADAMS ST,,23152(A)(B),hit object,1,,,,,,,,,Fixed Object,CURB/TREE/FENCE,No Pedestrians Involved,,
,,,,,,1,,,,,,,,,,,,,1,,1,,,10/27/2007,1508,07-05844,FIFTH ST,D ST,,,21802(A) VC,broadside,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,1,,,,,,,,,,,,,,,,,,,,,10/27/2007,1837,07-05846,LILLARD BLVD,,87 FEET SOUTH OF COWELL BLVD,,23152,rear end,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,1,1,,,,,,,,,,,,,,,,,,,,,10/29/2007,2100,07-05879,OAK AVE,VILLANOVA DR,,,22350,hit object,,,,,,,,,,Fixed Object,WOODEN FENCE,No Pedestrians Involved,,
,1,,,,,1,,,,,,,,,,,,,,,,1,,10/30/2007,1803,07-05886,5TH ST,,33 FEET EAST OF I ST,,22107 VC,other,1,1.0,,,,,VEHICLE VS BIKE,,,Bicycle,,No Pedestrians Involved,,
,1,1,1,,,,,,,,,,,,,,,,,,,,,10/30/2007,1851,07-05888,SYCAMORE LN,VILLANOVA ST,,,,broadside,1,1.0,,,,,,,,Bicycle,,No Pedestrians Involved,,
,1,,,,,,,,,,,1,,,,,,,,,,,,10/31/2007,819,07-05892,ANDERSON RD,ALVARADO AVE,,,21803(A) VC,other,1,1.0,,,,,AUTO VS. BIKE,,,Bicycle,,No Pedestrians Involved,,
,1,,,,,,1,,1,,,,,,,,,,,,,,,10/31/2007,1635,07-05904,8TH ST,F ST,,,21801(A) CVC,other,,,,,,,AUTO VS BIKE,,,Bicycle, ,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,11/1/2007,58,07-05914,SECOND ST,,105 FEET EAST OF G ST,,,rear end,,,,,,,,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,11/2/2007,820,07-05940,RUSSELL BLVD,ORCHARD LN, ,,21802 (A) CVC,broadside,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,1,,,,,,,,,,,,,1,,,11/5/2007,1005,07-05994,7TH ST,,10 FEET EAST OF B ST,,22107 CVC,side swipe,,,,,,,,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,1,,,,,,,,,,,,1,,,,,,,,,,,11/6/2007,1340,07-06016,ANDERSON RD,,75 FEET NORTH OF RUSSELL BLVD,,21650.1 CVC,other,2,2.0,,,,,BIKE VS BIKE,,,,,No Pedestrians Involved,,
,1,,,,,,1,,,1,,,,,,,,,,,,,,11/6/2007,755,07-06049,E 8TH ST,,120 FEET WEST OF J ST,,21804 (A) CVC,other,1,1.0,,,,,AUTO VS BIKE,,,Bicycle,,No Pedestrians Involved,,
,,,,,,1,,,,,,,,,,,,,,,,1,,11/7/2007,1830,07-06051,5TH ST,,50 FEET WEST OF L ST,,22350 CVC,rear end,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,1,,,,,,,,,,,,,,,,,1,,11/8/2007,23,07-06057,2ND ST,L ST,,,23152 CVC,hit object,2,,,,,,,,,Fixed Object,CURB/STREET SIGN/PGE POLE,No Pedestrians Involved,,
,,,,,,,,,,,,,1,,,,,,,,,,,11/8/2007,900,07-06064,ANDERSON RD,,95 FEET NORTH OF SUNSET CT,,22350 CVC,rear end,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,11/8/2007,1215,07-06073,E ST,,220 FEET NORTH OF 1ST ST,,22107 VC,side swipe,,,,,,,,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,1,,,,,,,,,,,11/8/2007,2054,07-06082,RUSSELL BLVD,ANDERSON RD,,,21453 (A) VC,broadside,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,1,,,,,,,,,,,,1,,,,,,,,,,,11/9/2007,1112,07-06091,ANDERSON RD,,160 FEET NORTH OF RUSSELL BLVD,,,other,1,1.0,,,,,HIT BICYCLE,,,Bicycle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,11/10/2007,2113,07-06144,MACE BLVD,CHILES RD,,,,head on,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,11/11/2007,242,07-06147,I-80 WEST OFF RAMP AT MACE BLVD,,15 FEET EAST OF MACE BLVD,,22350 CVC,head on,1,,,,,,,,,Fixed Object,RAISED MEDIAN,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,11/11/2007,1120,07-06152,HAMPTON DR,,400 FEET EAST OF ARTHUR AVENUE,,22106 CVC,hit object,,,,,,,,,,Fixed Object,PLANTS ON GREENBELT,No Pedestrians Involved,,
1,,,,,1,,,,,,,,,,,,,,,,,,,11/13/2007,721,07-06182,MACE BLVD,SECOND ST,,,21456 (B) VC,vehicle-pedestrian,1,,,,1.0,,,,,Pedestrian,,Crossing in Crosswalk at Intersection,,
,,,,,,,,,,,,,,,,,,,1,,,,,11/16/2007,956,07-06244,SECOND ST,,28 FEET EAST OF D ST,,22350 CVC,side swipe,,,,,,,,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,1,,,,,,,,,,,,,,,,,11/18/2007,1349,07-06283,W 8TH ST,,200 FEET EAST OF OAK AVE,,22350 CVC,head on,,,,,,,,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,11/19/2007,1211,07-06297,SHASTA DRIVE,,15 FEET SOUTH OF WEST COVELL BLVD,,23152(A),hit object,1,,,,,,,,,Fixed Object,RAISED ISLAND,No Pedestrians Involved,,
1,,,,,,1,,,,,,,,,,,,,,1,,,1,11/19/2007,2043,07-06305,RUSSELL BLVD,A ST,,,21950 (A) CVC,vehicle-pedestrian,1,,,,1.0,,,,,Pedestrian,,Crossing in Crosswalk at Intersection,,
,,,,,,,,,,,,,,,,1,,,,,,,,11/22/2007,1209,07-06342,POLE LINE RD,,40 FEET NORTH OF COVELL BLVD,,22350 CVC,rear end,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,1,,,,,,1,,,,,,,,,,,11/23/2007,1305,07-06347,ANDERSON RD,8TH ST,,,21453 (A) CVC,broadside,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,1,,1,,,11/24/2007,1656,07-06369,G ST,6TH ST,,,22450(A) CVC,broadside,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,11/24/2007,2052,07-06372,BIDWELL ST,,16 FEET SOUTH OF FREEMONT CT,,22350 CVC,side swipe,1,,,,,,,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,11/26/2007,1142,07-06388,ALVARADO AVE,,120 FEET WEST OF ANDERSON RD,,21804 (A) CVC,broadside,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,11/26/2007,1907,07-06397,LOS CERROS PL,,185 FEET WEST OF OCEANO WAY,,22106 CVC,hit object,,,,,,,,,,Fixed Object,LIGHT POLE,No Pedestrians Involved,,
1,,1,,,,,,,,,,,,,,,,,,,,,,11/27/2007,1004,07-06401,TULIP LN,PONTEVERDE,,,21950(A) CVC,vehicle-pedestrian,1,,,,1.0,,,,,Pedestrian,,Crossing in Crosswalk at Intersection,,
,,,,,,,1,,,,,,,,,,,,,,,,,11/28/2007,832,07-06420,8TH ST,,20 FEET EAST OF HUNT WAY,,22350 CVC,side swipe,1,,,,,,,,,Parked Motor Vehicle,AND A TREE,No Pedestrians Involved,,
,,,1,,,,,,,,,,,1,,,,,,,,,,11/28/2007,1811,07-06431,COVELL BLVD,,150 FEET WEST OF BIRCH LANE,,22350 CVC,rear end,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,1,,,,,,,,,,,,,1,,1,,,11/29/2007,1344,07-06445,5TH ST,,15 FEET EAST OF G ST,,22350 CVC,rear end,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,1,,,,,,,12/1/2007,34,07-06476,RUSSELL BLVD,,50 FEET OF LAKE BLVD,,22350VC,head on,,,,,,,,,,Fixed Object,SPEED LIMIT SIGN,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,12/2/2007,1717,07-06497,MACE BLVD,CHILES RD,,,21453(C) VC ,broadside,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,12/4/2007,740,07-06523,MOORE BLVD,WRIGHT BLVD,,,22350 CVC,hit object,1,,,,,,,,,Fixed Object,CURB,No Pedestrians Involved,,
,,,,,,,,,,,,,,,1,,,,,,,,,12/4/2007,1030,07-06526,RICHARDS BLVD,,100 FEET SOUTH OF OLIVE DR,,22106 CVC,other,,,,,,,BACKING,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,1,,,,,,,,,,,,,1,,1,,,12/5/2007,1008,07-06546,FIFTH STREET,E STREET,,,21802(A)VC,broadside,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,1,1,,,,,,,,,,,,,,,,,,,,,12/5/2007,1230,07-06548,14TH ST,BEECH LANE,,,21801(A) CVC,broadside,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,1,,,,,,1,,,,,1,,,,,,,,,,12/5/2007,1510,07-06550,F ST,,100 FEET SOUTH OF COVELL BLVD,,22350 CVC,rear end,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,1,,,,,,,12/5/2007,1828,07-06552,RUSSELL BLVD,EISENHOWER DRIVE,,,22350 VC,rear end,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,1,,,,,,,,,,,,,,,,,1,,12/6/2007,1340,07-06580,2ND STREET,,TEN FEET EAST OF L STREET,,22350,overturned,2,,,,,,,,,Fixed Object,CURB,Crossing in Crosswalk at Intersection,,
,,,,,,,,,,,,,,,,,,,,,,,,12/6/2007,1445,07-06583,COVELL BLVD,,300 FEET WEST OF SYCAMORE LANE,,22350,rear end,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,12/6/2007,1716,07-06585,RUSSELL BLVD,,150 FEET WEST OF SYCAMORE LANE,,22350,rear end,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,1,,,,,,,,,,,,,,1,,,,,,,,,12/6/2007,2120,07-06586,OLIVE DRIVE,,15 FEET EAST OF HICKORY LANE,,21804(A),other,1,1.0,,,,,AUTO VS BIKE,,,Bicycle,,No Pedestrians Involved,,
,,,1,,,,,,1,,,,,1,,,,,,,,,,12/7/2007,156,07-06589,F STREET,,15 FEET SOUTH OF WEST COVELL BLVD,,23152(A)(B),side swipe,,,,,,,,,,Fixed Object,CONCRETE CURB ISLAND,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,1,,,,,,,,12/7/2007,940,07-06593,POLE LINE RD,,50 FEET SOUTH OF DONNER AVE,,22350,side swipe,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,1,,,,,,,,,,,,,,,,,12/7/2007,2025,07-06602,OAK AVE,,85 FEET SOUTH OF 8TH ST,,,other,,,,,,,UNKNOWN,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,,,,,,1,,,,,,,,,,,,,,,,1,,12/8/2007,337,07-06612,J STREET,FIFTH STREET,,,22450(A)VC,broadside,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,12/8/2007,655,07-06613,LAFAYETTE DRIVE,,17 FEET EAST OF BUCKEYE LANE,,23152(A)VC,broadside,,,,,,,,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,1,,,,,,,,,,,,,,,,,12/9/2007,1415,07-06652,E 8TH STREET,,21 FEET WEST OF TULIP LANE,,,hit object,1,,,,,,,,,Fixed Object,CURBS/TREE,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,1,,,,,12/13/2007,1715,07-06712,SECOND ST,,125 FEET EAST OF D STREET,,,side swipe,,,,,,,,,,Parked Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,12/13/2007,2237,07-06713,SHASTA DRIVE,,65 FEET SOUTH OF RIO GRANDE STREET,,23152(A)VC,hit object,,,,,,,,,,Fixed Object,TREE,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,12/14/2007,225,07-06716,1659 DREW CIRCLE,,,,23152(A) VC,broadside,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,1,,,,,,,12/14/2007,1728,07-06723,RUSSELL BLVD,LAKE BLVD,,,22107 VC,side swipe,,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,1,,,,,,,,,,,,,,,,,,,,,12/15/2007,240,07-06731,LILLARD DRIVE,,1/10 MILE EAST OF COWELL BLVD,,23152(A),hit object,,,,,,,,,,Fixed Object,TREE,No Pedestrians Involved,,
,,,,,,1,,,1,,,,,,,,,,1,,1,,,12/15/2007,947,07-06733,5TH ST,F ST,,,22350 VC,rear end,1,,,,,,,,,Other Motor Vehicle,,No Pedestrians Involved,,
,,,,,,,,,,,,,,,,,,,,,,,,12/15/2007,1039,07-06735,5TH ST,,402 FEET EAST OF CANTRILL DRIVE,,,,,,,,,,,,,,,No Pedestrians Involved,,
